order,code,province,coast,area_rai,month,year,thai_year,status,qa_label,scenes_used,clear_pixel_pct,high_green_rai,medium_yellow_rai,low_red_rai,water_rai,unknown_rai,high_green_pct,medium_yellow_pct,low_red_pct,water_pct,unknown_pct,mean_fcd_valid_land,median_fcd_valid_land,mean_ndvi_valid,median_mndwi_valid
1,18-VSD,ชุมพร,อ่าวไทย,1909.77,2023-03,2023,2566,observed,COMPARABLE,4,96.84,38.98,1700.15,109.43,0.94,60.28,2.04,89.02,5.73,0.05,3.16,44.72,45.23,0.4689,-0.1207
1,18-VSD,ชุมพร,อ่าวไทย,1909.77,2024-03,2024,2567,observed,COMPARABLE,4,100.0,9.56,1627.32,272.58,0.31,0.0,0.5,85.21,14.27,0.02,0.0,40.07,40.45,0.4767,-0.1208
1,18-VSD,ชุมพร,อ่าวไทย,1909.77,2025-03,2025,2568,observed,COMPARABLE,4,100.0,37.98,1642.31,229.17,0.31,0.0,1.99,86.0,12.0,0.02,0.0,42.53,43.29,0.486,-0.1208
1,18-VSD,ชุมพร,อ่าวไทย,1909.77,2026-03,2026,2569,observed,COMPARABLE,4,100.0,17.11,1761.42,130.23,1.0,0.0,0.9,92.23,6.82,0.05,0.0,42.94,43.08,0.4516,-0.1097
2,19-VSD,ชุมพร,อ่าวไทย,316.38,2023-03,2023,2566,observed,COMPARABLE,4,100.0,3.88,242.07,70.44,0.0,0.0,1.22,76.51,22.26,0.0,0.0,34.64,38.94,0.3971,-0.1767
2,19-VSD,ชุมพร,อ่าวไทย,316.38,2024-03,2024,2567,observed,COMPARABLE,3,97.67,0.13,129.06,179.82,0.0,7.38,0.04,40.79,56.84,0.0,2.33,22.46,25.8,0.3754,-0.1886
2,19-VSD,ชุมพร,อ่าวไทย,316.38,2025-03,2025,2568,observed,COMPARABLE,3,100.0,30.38,193.44,92.56,0.0,0.0,9.6,61.14,29.26,0.0,0.0,37.87,37.63,0.423,-0.2096
2,19-VSD,ชุมพร,อ่าวไทย,316.38,2026-03,2026,2569,observed,COMPARABLE,4,100.0,49.5,238.32,24.19,4.38,0.0,15.65,75.33,7.65,1.38,0.0,49.23,47.92,0.4004,-0.1876
3,40-VSD,พังงา,อันดามัน,277.33,2023-03,2023,2566,observed,COMPARABLE,4,99.87,5.35,147.13,116.12,8.34,0.37,1.93,53.05,41.87,3.01,0.13,34.65,31.72,0.4978,-0.1196
3,40-VSD,พังงา,อันดามัน,277.33,2024-03,2024,2567,observed,COMPARABLE,3,98.72,23.72,242.21,4.3,3.55,3.55,8.55,87.34,1.55,1.28,1.28,50.53,49.35,0.4758,-0.1117
3,40-VSD,พังงา,อันดามัน,277.33,2025-03,2025,2568,observed,COMPARABLE,4,100.0,10.9,131.07,129.51,5.85,0.0,3.93,47.26,46.7,2.11,0.0,32.96,30.83,0.5162,-0.14
3,40-VSD,พังงา,อันดามัน,277.33,2026-03,2026,2569,observed,COMPARABLE,4,100.0,10.21,161.7,103.05,2.37,0.0,3.68,58.31,37.16,0.85,0.0,35.89,34.14,0.5166,-0.1332
4,41-VSD,พังงา,อันดามัน,178.92,2023-03,2023,2566,observed,COMPARABLE,4,100.0,4.63,84.74,86.68,2.88,0.0,2.59,47.36,48.44,1.61,0.0,31.12,30.13,0.5237,-0.1349
4,41-VSD,พังงา,อันดามัน,178.92,2024-03,2024,2567,observed,COMPARABLE,3,100.0,11.95,154.95,9.39,2.63,0.0,6.68,86.6,5.25,1.47,0.0,49.88,50.55,0.4851,-0.1108
4,41-VSD,พังงา,อันดามัน,178.92,2025-03,2025,2568,observed,COMPARABLE,4,97.24,4.57,75.35,91.43,2.63,4.94,2.55,42.11,51.1,1.47,2.76,28.63,29.1,0.5369,-0.1547
4,41-VSD,พังงา,อันดามัน,178.92,2026-03,2026,2569,observed,COMPARABLE,4,98.81,7.89,101.44,65.27,2.19,2.13,4.41,56.7,36.48,1.22,1.19,33.91,33.23,0.5292,-0.1427
5,42-VSD,พังงา,อันดามัน,223.01,2023-03,2023,2566,observed,COMPARABLE,4,100.0,2.49,160.31,57.97,2.24,0.0,1.11,71.89,26.0,1.0,0.0,34.88,33.35,0.5191,-0.135
5,42-VSD,พังงา,อันดามัน,223.01,2024-03,2024,2567,observed,COMPARABLE,4,100.0,6.71,211.39,2.24,2.67,0.0,3.01,94.79,1.0,1.2,0.0,49.84,49.41,0.4809,-0.117
5,42-VSD,พังงา,อันดามัน,223.01,2025-03,2025,2568,observed,COMPARABLE,4,99.22,3.67,177.4,38.34,1.86,1.74,1.64,79.55,17.19,0.84,0.78,37.8,37.54,0.5193,-0.1498
