order,code,province,pdd_project_area_rai,pdd_allocated_area_rai,geometry_area_rai,geometry_area_difference_pct,geometry_area_warning,selection_rule
1,18-VSD,ชุมพร,1909.77,2007.76,1911.2,0.07,False,single/exact-declared-area
2,19-VSD,ชุมพร,316.38,324.13,316.63,0.08,False,single/exact-declared-area
3,40-VSD,พังงา,277.33,289.11,277.54,0.08,False,single/exact-declared-area
4,41-VSD,พังงา,178.92,181.5,179.05,0.07,False,single/exact-declared-area
5,42-VSD,พังงา,223.01,228.88,223.17,0.07,False,single/exact-declared-area
6,43-VSD,พังงา,122.82,123.91,122.92,0.08,False,single/exact-declared-area
7,44-VSD,พังงา,221.07,223.49,221.24,0.08,False,single/exact-declared-area
8,66-VSD,ตรัง,97.17,97.17,97.23,0.07,False,single/exact-declared-area
9,85-VSD,สตูล,599.58,607.58,599.84,0.04,False,single/exact-declared-area
10,86-VSD,สตูล,1141.96,1162.47,1142.46,0.04,False,single/exact-declared-area
11,87-VSD,สมุทรสงคราม,92.92,101.62,92.98,0.06,False,single/exact-declared-area
12,88-VSD,ปัตตานี,257.66,307.41,257.51,-0.06,False,single/exact-declared-area
13,89-VSD,ปัตตานี,25.72,25.72,25.69,-0.1,False,single/exact-declared-area
14,90-VSD,ปัตตานี,22.42,60.65,22.4,-0.07,False,single/exact-declared-area
15,93-VSD,ปัตตานี,82.63,82.63,82.59,-0.05,False,single/exact-declared-area
16,94-VSD,ปัตตานี,140.87,140.87,140.8,-0.05,False,single/exact-declared-area
17,95-VSD,ปัตตานี,200.38,200.38,200.2,-0.09,False,single/exact-declared-area
18,97-VSD,กระบี่,184.64,185.58,184.79,0.08,False,single/exact-declared-area
19,98-VSD,กระบี่,150.95,153.33,151.07,0.08,False,single/exact-declared-area
20,99-VSD,กระบี่,205.78,205.78,205.94,0.08,False,single/exact-declared-area
21,100-VSD,กระบี่,291.51,291.51,291.74,0.08,False,single/exact-declared-area
22,102-VSD,ภูเก็ต,32.04,36.25,32.06,0.06,False,single/exact-declared-area
