plot_code,province,pdd_area_rai,month,analysis_mode,scene_count,inside_pixel_count,valid_pixel_count,coverage_pct,qa,mean_ndvi,median_ndvi,median_ndre,median_mndwi,median_mfi
18-VSD,ชุมพร,1909.77,2023-09,single_scene_good,1,30575,30568,99.98,GOOD,0.5182,0.5307,0.3992,-0.1691,0.2204
18-VSD,ชุมพร,1909.77,2023-12,single_scene_good,1,30575,30575,100.0,GOOD,0.4903,0.5002,0.3928,-0.0921,0.1935
18-VSD,ชุมพร,1909.77,2024-03,single_scene_good,1,30575,30575,100.0,GOOD,0.4955,0.5048,0.3787,-0.1579,0.2021
18-VSD,ชุมพร,1909.77,2024-06,no_data,0,30575,0,0.0,NO_DATA,,,,,
18-VSD,ชุมพร,1909.77,2024-09,same_month_multi_scene_composite,2,30575,2031,6.64,LOW_QA,0.2669,0.2636,0.2155,-0.0866,0.1413
18-VSD,ชุมพร,1909.77,2024-12,single_scene_good,1,30575,30566,99.97,GOOD,0.5062,0.5129,0.4065,-0.0994,0.2029
18-VSD,ชุมพร,1909.77,2025-03,single_scene_good,1,30575,30566,99.97,GOOD,0.5008,0.5077,0.3531,-0.1424,0.206
18-VSD,ชุมพร,1909.77,2025-06,same_month_multi_scene_composite,4,30575,3419,11.18,LOW_QA,0.3558,0.3402,0.2812,0.0228,0.1715
18-VSD,ชุมพร,1909.77,2025-09,single_scene_partial,1,30575,249,0.81,NO_DATA,0.5345,0.5493,0.384,-0.1369,0.3183
18-VSD,ชุมพร,1909.77,2025-12,single_scene_good,1,30575,30575,100.0,GOOD,0.5257,0.5454,0.376,-0.1215,0.2177
18-VSD,ชุมพร,1909.77,2026-03,single_scene_good,1,30575,30568,99.98,GOOD,0.4541,0.4695,0.3544,-0.1111,0.182
18-VSD,ชุมพร,1909.77,2026-08,single_scene_partial,1,30575,25975,84.96,PARTIAL,0.4681,0.4847,0.374,-0.1372,0.2085
19-VSD,ชุมพร,316.38,2023-09,single_scene_good,1,5062,4959,97.97,GOOD,0.4231,0.4388,0.3387,-0.2452,0.184
19-VSD,ชุมพร,316.38,2023-12,same_month_multi_scene_composite,3,5062,3603,71.18,PARTIAL,0.4222,0.4462,0.3494,-0.127,0.1993
19-VSD,ชุมพร,316.38,2024-03,same_month_multi_scene_composite,5,5062,5044,99.64,GOOD,0.3895,0.4043,0.2992,-0.1877,0.1763
19-VSD,ชุมพร,316.38,2024-06,same_month_multi_scene_composite,2,5062,4041,79.83,PARTIAL,0.3365,0.3302,0.2633,-0.1769,0.1596
19-VSD,ชุมพร,316.38,2024-09,single_scene_partial,1,5062,2348,46.38,LOW_QA,0.4536,0.4678,0.3601,-0.2057,0.2233
19-VSD,ชุมพร,316.38,2024-12,single_scene_good,1,5062,5062,100.0,GOOD,0.3969,0.4413,0.3493,-0.138,0.17
19-VSD,ชุมพร,316.38,2025-03,single_scene_good,1,5062,5062,100.0,GOOD,0.4195,0.4526,0.3127,-0.2264,0.176
19-VSD,ชุมพร,316.38,2025-06,same_month_multi_scene_composite,3,5062,3294,65.07,PARTIAL,0.4454,0.4704,0.3646,-0.1766,0.2315
19-VSD,ชุมพร,316.38,2025-09,same_month_multi_scene_composite,3,5062,3438,67.92,PARTIAL,0.3902,0.3809,0.2831,-0.169,0.2048
19-VSD,ชุมพร,316.38,2025-12,single_scene_good,1,5062,5062,100.0,GOOD,0.4921,0.5211,0.3676,-0.1875,0.201
19-VSD,ชุมพร,316.38,2026-03,single_scene_good,1,5062,5062,100.0,GOOD,0.3961,0.4119,0.3015,-0.1874,0.1513
19-VSD,ชุมพร,316.38,2026-08,same_month_multi_scene_composite,2,5062,1250,24.69,LOW_QA,0.2951,0.3017,0.2543,-0.1693,0.1562
40-VSD,พังงา,277.33,2023-09,single_scene_good,1,4454,4289,96.3,GOOD,0.5376,0.5718,0.4507,-0.1289,0.2507
40-VSD,พังงา,277.33,2023-12,single_scene_good,1,4454,4454,100.0,GOOD,0.5642,0.5936,0.493,-0.1293,0.2691
40-VSD,พังงา,277.33,2024-03,single_scene_good,1,4454,4388,98.52,GOOD,0.5271,0.5579,0.4194,-0.134,0.2228
40-VSD,พังงา,277.33,2024-06,single_scene_good,1,4454,4360,97.89,GOOD,0.5245,0.5468,0.4335,-0.1267,0.2246
