plot_code,province,pdd_area_rai,month,analysis_mode,scenes_evaluated,scenes_used,inside_pixel_count,valid_pixel_count,coverage_pct,qa,mean_ndvi,median_ndvi,median_ndre,median_mndwi,median_mfi,water_fraction
87-VSD,สมุทรสงคราม,92.92,2023-09,single_scene,6,1,1494,1494,100.0,GOOD,0.5133,0.5338,0.3934,-0.1629,0.2346,0.0094
87-VSD,สมุทรสงคราม,92.92,2023-12,single_scene,6,1,1494,1494,100.0,GOOD,0.4768,0.4965,0.3691,-0.169,0.1908,0.0094
87-VSD,สมุทรสงคราม,92.92,2024-03,single_scene,7,1,1494,1494,100.0,GOOD,0.4301,0.4576,0.3272,-0.1547,0.1804,0.0074
87-VSD,สมุทรสงคราม,92.92,2024-06,same_month_multi_scene_composite,6,2,1494,747,50.0,PARTIAL,0.425,0.4629,0.3446,-0.1568,0.2304,0.0027
87-VSD,สมุทรสงคราม,92.92,2024-09,single_scene,5,1,1494,1494,100.0,GOOD,0.541,0.5592,0.3938,-0.1889,0.2401,0.01
87-VSD,สมุทรสงคราม,92.92,2024-12,single_scene,7,1,1494,1494,100.0,GOOD,0.504,0.5257,0.3978,-0.1417,0.2052,0.01
87-VSD,สมุทรสงคราม,92.92,2025-03,single_scene,8,1,1494,1494,100.0,GOOD,0.4499,0.4774,0.3466,-0.1437,0.1928,0.0
87-VSD,สมุทรสงคราม,92.92,2025-06,single_scene,8,1,1494,1494,100.0,GOOD,0.4681,0.4874,0.3321,-0.1849,0.2149,0.0054
87-VSD,สมุทรสงคราม,92.92,2025-09,single_scene,7,1,1494,1494,100.0,GOOD,0.2132,0.2157,0.1424,0.1104,0.1316,1.0
87-VSD,สมุทรสงคราม,92.92,2025-12,single_scene,9,1,1494,1494,100.0,GOOD,0.5114,0.5284,0.3674,-0.1633,0.2086,0.0094
87-VSD,สมุทรสงคราม,92.92,2026-03,single_scene,8,1,1494,1494,100.0,GOOD,0.4849,0.509,0.3224,-0.1613,0.2051,0.0047
87-VSD,สมุทรสงคราม,92.92,2026-08,single_scene,6,1,1494,1494,100.0,GOOD,0.5253,0.5435,0.3946,-0.1862,0.236,0.0
88-VSD,ปัตตานี,257.66,2023-09,same_month_multi_scene_composite,6,1,4121,341,8.27,LOW_QA,0.4226,0.4241,0.3182,-0.1,0.1733,0.0117
88-VSD,ปัตตานี,257.66,2023-12,same_month_multi_scene_composite,6,3,4121,4111,99.76,GOOD,0.4175,0.4456,0.3415,-0.0947,0.1811,0.1481
88-VSD,ปัตตานี,257.66,2024-03,single_scene,6,1,4121,4121,100.0,GOOD,0.3927,0.4152,0.31,-0.0673,0.165,0.1289
88-VSD,ปัตตานี,257.66,2024-06,single_scene,6,1,4121,4121,100.0,GOOD,0.3799,0.3961,0.2892,-0.1284,0.1458,0.0774
88-VSD,ปัตตานี,257.66,2024-09,single_scene,4,1,4121,4121,100.0,GOOD,0.4438,0.4628,0.3395,-0.1746,0.1814,0.0
88-VSD,ปัตตานี,257.66,2024-12,same_month_multi_scene_composite,6,1,4121,12,0.29,NO_DATA,0.0955,0.0886,0.0408,0.0466,0.0454,0.9167
88-VSD,ปัตตานี,257.66,2025-03,same_month_multi_scene_composite,7,3,4121,4121,100.0,GOOD,0.4058,0.4393,0.324,-0.0911,0.1714,0.1296
88-VSD,ปัตตานี,257.66,2025-06,same_month_multi_scene_composite,6,1,4121,670,16.26,LOW_QA,0.3678,0.3691,0.2797,-0.0739,0.1636,0.0
88-VSD,ปัตตานี,257.66,2025-09,same_month_multi_scene_composite,7,2,4121,893,21.67,LOW_QA,0.4048,0.4094,0.2793,-0.1347,0.1897,0.0
88-VSD,ปัตตานี,257.66,2025-12,single_scene,8,1,4121,4024,97.65,GOOD,0.3631,0.4205,0.311,-0.0781,0.1524,0.1389
88-VSD,ปัตตานี,257.66,2026-03,single_scene,7,1,4121,4121,100.0,GOOD,0.3566,0.3962,0.2922,-0.1028,0.1433,0.1281
88-VSD,ปัตตานี,257.66,2026-08,same_month_multi_scene_composite,6,1,4121,1330,32.27,LOW_QA,0.3521,0.3797,0.2638,-0.1624,0.1494,0.0008
93-VSD,ปัตตานี,82.63,2023-09,no_data,6,0,1326,0,0.0,NO_DATA,,,,,,
93-VSD,ปัตตานี,82.63,2023-12,single_scene,6,1,1326,1290,97.29,GOOD,0.5095,0.5214,0.4031,-0.1457,0.2163,0.0
93-VSD,ปัตตานี,82.63,2024-03,single_scene,6,1,1326,1326,100.0,GOOD,0.4453,0.4598,0.3489,-0.127,0.1918,0.0
93-VSD,ปัตตานี,82.63,2024-06,single_scene,6,1,1326,1319,99.47,GOOD,0.4667,0.4777,0.3426,-0.1692,0.1923,0.0
