plot_code,province,area_rai,march_2024_2026_comparable,delta_green_rai,delta_red_rai,current_2026_08_qa,current_2026_08_green_rai,current_2026_08_yellow_rai,current_2026_08_red_rai
18-VSD,ชุมพร,1909.77,True,-546.28,91.36,PARTIAL,,,
85-VSD,สตูล,599.58,True,-70.92,2.09,PARTIAL,,,
95-VSD,ปัตตานี,200.38,True,-47.78,0.0,GOOD,194.1664,5.3486,0.0
40-VSD,พังงา,277.33,True,-45.27,0.0,GOOD,149.2543,127.2246,0.0
88-VSD,ปัตตานี,257.66,True,-41.07,0.0,LOW_QA,,,
93-VSD,ปัตตานี,82.63,True,-26.06,0.0,GOOD,63.2871,18.9861,0.0
98-VSD,กระบี่,150.95,True,-21.31,7.03,PARTIAL,,,
89-VSD,ปัตตานี,25.72,True,-13.01,0.0,GOOD,24.395,1.214,0.0
94-VSD,ปัตตานี,140.87,True,-6.96,0.0,GOOD,116.8849,23.377,0.0
102-VSD,ภูเก็ต,32.04,True,-3.92,0.0,LOW_QA,,,
66-VSD,ตรัง,97.17,True,0.0,-10.44,GOOD,2.3744,20.3078,74.3578
90-VSD,ปัตตานี,22.42,True,3.28,0.0,PARTIAL,,,
87-VSD,สมุทรสงคราม,92.92,True,3.29,0.0,GOOD,89.5428,2.7172,0.0
97-VSD,กระบี่,184.64,True,4.65,1.36,GOOD,157.8423,16.9641,8.2907
99-VSD,กระบี่,205.78,True,12.01,-2.35,GOOD,173.3168,30.039,0.7045
44-VSD,พังงา,221.07,True,18.28,0.0,PARTIAL,,,
86-VSD,สตูล,1141.96,True,51.35,0.83,GOOD,1025.1517,98.1742,12.4835
19-VSD,ชุมพร,316.38,True,58.28,-96.49,LOW_QA,,,
43-VSD,พังงา,122.82,True,69.05,0.0,PARTIAL,,,
100-VSD,กระบี่,291.51,True,73.13,-18.41,LOW_QA,,,
42-VSD,พังงา,223.01,True,104.27,0.0,PARTIAL,,,
41-VSD,พังงา,178.92,True,136.7,0.0,PARTIAL,,,
