plot_code,province,area_rai,month,qa,analysis_mode,coverage_pct,scenes_used,scene_ids,green_observed_rai,yellow_observed_rai,red_observed_rai,water_observed_rai,unknown_observed_rai,green_rai,yellow_rai,red_rai,mean_fcd_score
18-VSD,ชุมพร,1909.77,2024-03,GOOD,single_scene_good,100.0,1,['S2A_MSIL2A_20240331T033531_R061_T47PNN_20240331T093338'],1586.4676,287.824,35.4158,0.0625,0.0,1586.5195,287.8335,35.417,69.0157
18-VSD,ชุมพร,1909.77,2025-03,GOOD,single_scene_good,99.97,1,['S2C_MSIL2A_20250316T033601_R061_T47PNN_20250316T090315'],1703.8334,183.3879,21.7992,0.1874,0.5622,1704.5024,183.4599,21.8077,71.8166
18-VSD,ชุมพร,1909.77,2026-03,GOOD,single_scene_good,99.98,1,['S2B_MSIL2A_20260326T033529_R061_T47PNN_20260326T072041'],1039.4271,742.1713,126.6726,1.0619,0.4372,1040.2436,742.7543,126.7721,55.2609
18-VSD,ชุมพร,1909.77,2026-08,PARTIAL,single_scene_partial,84.96,1,['S2B_MSIL2A_20260803T033539_R061_T47PNN_20260803T072631'],730.6159,726.1186,165.5863,0.1249,287.3243,,,,52.2391
19-VSD,ชุมพร,316.38,2024-03,GOOD,same_month_multi_scene_composite,99.64,5,"['S2A_MSIL2A_20240331T033531_R061_T47PNM_20240331T093553', 'S2A_MSIL2A_20240321T033541_R061_T47PNM_20240321T091103', 'S2A_MSIL2A_20240311T033541_R061_T47PNM_20240311T115048', 'S2B_MSIL2A_20240316T033539_R061_T47PNM_20240316T081224', 'S2B_MSIL2A_20240326T033539_R061_T47PNM_20240326T091653']",44.5007,79.6263,190.3155,0.8125,1.125,44.7749,80.1169,191.4882,28.6589
19-VSD,ชุมพร,316.38,2025-03,GOOD,single_scene_good,100.0,1,['S2C_MSIL2A_20250316T033601_R061_T47PNM_20250316T090315'],162.0651,65.5635,88.7514,0.0,0.0,162.0651,65.5635,88.7514,50.815
19-VSD,ชุมพร,316.38,2026-03,GOOD,single_scene_good,100.0,1,['S2B_MSIL2A_20260326T033529_R061_T47PNM_20260326T072041'],101.5641,116.6268,93.6265,4.5626,0.0,103.0502,118.3333,94.9964,44.2229
19-VSD,ชุมพร,316.38,2026-08,LOW_QA,same_month_multi_scene_composite,24.69,2,"['S2B_MSIL2A_20260803T033539_R061_T47PNM_20260803T072631', 'S2B_MSIL2A_20260813T033529_R061_T47PNM_20260813T072506']",0.3125,2.875,74.9387,0.0,238.2538,,,,4.0884
40-VSD,พังงา,277.33,2024-03,GOOD,single_scene_good,98.52,1,['S2B_MSIL2A_20240326T033539_R061_T47PMK_20240326T091645'],205.8493,62.5767,0.0,4.7944,4.1095,212.0249,64.454,0.0,78.5859
40-VSD,พังงา,277.33,2025-03,GOOD,single_scene_good,99.93,1,['S2B_MSIL2A_20250324T034539_R104_T47PMK_20250324T072707'],158.7767,116.4985,0.0,1.868,0.1868,159.471,117.0079,0.0,68.632
40-VSD,พังงา,277.33,2026-03,GOOD,single_scene_good,99.87,1,['S2A_MSIL2A_20260313T034201_R061_T47PMK_20260313T083010'],165.3146,108.7776,0.0,2.8642,0.3736,166.7541,109.7248,0.0,70.3129
